번호,센터명,위도,경도,은행,편의점,지하철 개수,지하철 점수,지하철등급,국도(km),고속도로(km),도로점수,도로등급
99,금광하이테크시티,37.6380696966548,126.680148948236,E,A,2,29.07,D,1.83,10.0,3.09,C
100,김포테라비즈 지식산업센터,37.6407620373217,126.683064114884,E,B,2,31.89,D,1.26,10.0,2.24,B
101,김포한강 듀클래스,37.6528435254458,126.638236219792,C,C,2,34.71,D,2.15,4.61,2.93,C
102,디원시티,37.6444288517299,126.617977408204,C,A,2,71.11,A,3.32,3.97,3.62,D
103,디원시티 시그니처,37.6430961203139,126.618449692618,C,A,2,73.65,A,3.4,4.04,3.69,D
104,라보진 지식산업센터,37.5935803745772,126.79673616427,E,C,1,15.45,D,0.49,3.8,0.87,A
105,리브타워,37.64154330189,126.619041146136,C,A,2,72.37,A,3.56,4.21,3.86,D
106,마스터비즈파크,37.6378600937932,126.680901464346,E,A,2,26.47,D,1.49,10.0,2.59,C
107,샹보르영무파라드김포한강,37.645446185236,126.617655498923,C,A,2,67.66,A,3.19,3.84,3.48,C
108,센트레비즈,37.6396791331435,126.619558590785,C,B,2,66.73,A,3.73,4.38,4.03,D
109,한강르네상스첨단비즈나인,37.6503891220109,126.63690079051,C,B,2,46.93,C,3.32,5.15,4.04,D
110,한강신도시G타워,37.6403001159356,126.682498776579,E,A,2,31.63,D,1.43,10.0,2.5,B
111,(주)일호,37.6150221853143,126.626279775734,C,D,0,0.0,E,10.0,2.54,4.05,D
112,D.I.M,37.6153061253205,126.622583816132,C,C,0,0.0,E,10.0,2.29,3.73,D
113,THE BIG BURN,37.6156355834474,126.622264219217,C,C,0,0.0,E,10.0,2.29,3.73,D
114,뉴아트,37.6151630310585,126.622155838283,C,C,0,0.0,E,10.0,2.29,3.73,D
115,대성지식산업센타,37.6150559400982,126.621520408403,C,C,0,0.0,E,10.0,2.11,3.48,C
116,대성지식산업센터,37.6150559400982,126.621520408403,C,C,0,0.0,E,10.0,2.11,3.48,C
117,이젠2차아파트형공장,37.6154201254434,126.621382419724,C,C,0,0.0,E,10.0,2.11,3.48,C
118,이젠아파트형공장,37.617027906035,126.621150340431,C,C,0,0.0,E,10.0,2.52,4.03,D
119,일호아파트형공장,37.6150221853143,126.626279775734,C,D,0,0.0,E,10.0,2.54,4.05,D
120,좋은 밸리,37.6154201254434,126.621382419724,C,C,0,0.0,E,10.0,2.11,3.48,C
121,SY비즈라클,37.5976978502959,127.177367619517,E,C,2,11.12,D,1.21,3.26,1.76,A
122,다산 블루웨일 지식산업센터 2차,37.6133679369785,127.153803172898,B,A,5,37.43,C,0.92,1.68,1.19,A
123,다산진건 블루웨일 지식산업센터 1차,37.6137596024247,127.153383212834,B,B,5,36.86,C,0.74,1.5,0.99,A
124,도심지식산업센터,37.5790664721714,127.221930672006,C,C,2,91.31,A,3.3,4.23,3.71,D
125,동광비즈타워 지식산업센터,37.6522963423599,127.129328548597,C,B,3,40.56,C,1.48,2.48,1.85,A
126,민족통일 MJ센터 별내 지식산업센터,37.6547787834931,127.129442324888,C,B,4,24.79,D,1.92,2.05,1.98,B
127,별내 디퍼스트,37.6697244554765,127.134809964011,E,D,1,17.43,D,2.08,2.28,2.18,B
128,블루오션 별내 지식산업센터,37.671947040464,127.115304185804,E,D,1,76.87,A,1.26,2.34,1.64,A
129,에이스하이엔드타워 별내 지식산업센터,37.6522963423599,127.129328548597,C,B,3,40.56,C,1.48,2.48,1.85,A
130,엠큐브스퀘어,37.5989855436268,127.177368637956,C,C,2,14.64,D,1.3,3.35,1.87,A
131,한강프리미어갤러리,37.5977425277938,127.174290956218,E,B,2,10.04,D,0.94,3.0,1.43,A
132,현대 테라타워DIMC,37.5956024123342,127.172261113921,E,B,1,12.05,D,0.53,2.58,0.88,A
133,현대그리너리캠퍼스별가람역,37.6635146745917,127.122633349478,E,C,1,62.95,A,2.44,1.03,1.45,A
134,현대프리미어캠퍼스 지식산업센터,37.6132489828097,127.152083515802,B,B,5,38.1,C,0.72,1.4,0.95,A
135,(주)태일전기,37.9054973530572,127.038705643946,E,D,2,13.07,D,1.76,10.0,2.99,C
136,동두천시 싸이언스타워,37.8901891570268,127.054154988116,C,A,2,77.0,A,2.44,4.89,3.26,C
137,동두천싸이언스타워 두드림 패션센터,37.8901891570268,127.054154988116,C,A,2,77.0,A,2.44,4.89,3.26,C
138,드림시티지식산업센타,37.9416070251556,127.058101821243,E,E,2,44.67,C,3.09,10.0,4.72,E
139,골든IT타워,37.4668698087252,126.826612773196,C,B,0,0.0,E,10.0,4.07,5.79,E
140,광양프런티어밸리 7차,37.4659126468934,126.82876259498,C,C,0,0.0,E,10.0,4.19,5.91,E
141,광양프런티어밸리5차지식산업센터,37.4663434188757,126.827831755541,C,B,0,0.0,E,10.0,4.39,6.1,E
142,괴안동 아파트형 공장,37.487914637723,126.818966208687,C,B,4,61.38,A,6.27,4.86,5.48,E
143,남성산업(주),37.483356771805,126.766052356017,C,B,3,62.66,A,10.0,2.4,3.87,D
144,대우테크노타운,37.4848428511949,126.770441148322,B,B,3,54.74,B,10.0,2.74,4.3,D
145,더 플랫폼R,37.467216131161,126.825921072378,C,B,0,0.0,E,10.0,4.07,5.79,E
146,더랜드 비즈니스파크I,37.4682721641014,126.823584878375,C,B,0,0.0,E,10.0,3.67,5.37,E
147,덕성테크노밸리,37.4662993186481,126.81269914086,C,D,1,30.71,D,10.0,2.2,3.61,D
148,부천콘텐츠센터,37.4822105838349,126.761626138941,B,B,4,48.17,B,10.0,2.14,3.53,C
149,삼정,37.4853883054881,126.770572559656,A,B,3,55.14,B,10.0,3.25,4.91,E
150,서영 아너시티2,37.4680390764011,126.824010235386,C,B,0,0.0,E,10.0,3.83,5.54,E
151,송내테크노밸리,37.4863084777225,126.753904546401,B,A,3,81.39,A,10.0,1.49,2.59,C
152,옥길테크노벨리,37.464917934565,126.812613627171,C,C,1,29.31,D,10.0,2.45,3.94,D
153,우성테크노파크,37.4675781497676,126.825244702162,C,B,0,0.0,E,10.0,3.83,5.54,E
154,BK테크노밸리,37.5279358502659,126.775500763029,E,D,0,0.0,E,10.0,1.07,1.93,B
155,뉴테크노타운,37.5261546309875,126.780419966599,C,C,0,0.0,E,6.52,0.74,1.33,A
156,다온테크노벨리,37.5284776534539,126.775992057017,E,D,0,0.0,E,10.0,0.81,1.5,A
157,다우테크노타운,37.5228494364064,126.786933146051,C,C,1,20.48,D,6.35,4.24,5.08,E
158,다우테크노타운Ⅱ,37.5183059689639,126.780833786425,C,B,2,13.77,D,7.05,1.59,2.59,C
159,디클래스I,37.5197219916329,126.783230825355,C,C,4,3.91,D,6.54,1.67,2.66,C
160,레노부르크,37.5311024696668,126.768482702707,C,D,0,0.0,E,10.0,1.68,2.88,C
161,부천 대원테크,37.5178089901382,126.781814487537,C,B,4,10.77,D,7.05,1.59,2.59,C
162,부천테크노파크1단지,37.5190152987959,126.762412808251,C,D,2,18.07,D,10.0,2.19,3.59,D
163,부천테크노파크쌍용3차,37.5230125380865,126.766726338157,C,C,0,0.0,E,10.0,10.0,10.0,E
164,부천테크노파크제3공장,37.5190237610716,126.764072336677,C,C,2,16.43,D,10.0,1.94,3.25,C
165,삼정동아파트형공장,37.5254528921656,126.765449672128,C,B,0,0.0,E,10.0,10.0,10.0,E
166,송림벨리타운,37.5284629431341,126.775362745733,E,D,0,0.0,E,10.0,1.07,1.93,B
167,신한테크노벨리,37.5278979809628,126.776388732527,E,D,0,0.0,E,10.0,0.81,1.5,A
168,우정테크노벨리,37.5283268387562,126.77490881519,E,D,0,0.0,E,10.0,1.07,1.93,B
169,원일테크노,37.5284772063297,126.775709001154,E,D,0,0.0,E,10.0,1.07,1.93,B
170,원일테크노Ⅱ,37.5279358502659,126.775500763029,E,D,0,0.0,E,10.0,1.07,1.93,B
171,유진지식산업센터,37.5255691106659,126.773710817606,C,C,0,0.0,E,10.0,10.0,10.0,E
172,은하테크노,37.5280231603168,126.776024414213,E,D,0,0.0,E,10.0,0.81,1.5,A
173,인철테크노밸리,37.5264918796735,126.769499278421,E,D,0,0.0,E,10.0,1.1,1.98,B
174,인철테크노밸리2차,37.5285585741907,126.761280180212,C,E,0,0.0,E,10.0,2.42,3.9,D
175,진택하이테크밸리,37.5253775841166,126.772645393923,C,C,0,0.0,E,10.0,10.0,10.0,E
176,(주)두성기계연구,37.5114287265462,126.784071668037,B,B,5,37.7,C,7.15,2.43,3.63,D
177,고산테크노벨리,37.5114439413587,126.784360951084,B,B,5,37.9,C,7.09,2.5,3.7,D
178,구심이엔지,37.514128674939,126.776184370599,B,B,3,29.77,D,10.0,1.41,2.47,B
179,대우테크노파크,37.5114922744915,126.778394544429,B,C,5,32.45,D,10.0,2.07,3.43,C
180,디아크원 지식산업센터,37.5048425679848,126.787948254261,B,B,4,79.83,A,6.53,3.34,4.42,D
181,부천테크노밸리 U1 Center,37.5008160052746,126.7901822124,B,A,6,54.31,B,6.51,3.91,4.89,E
182,부천테크노월드,37.5109319201613,126.781186523534,B,C,5,37.19,C,7.81,2.31,3.57,D
183,부천테크노파크2단지,37.5169348728419,126.76236114997,C,D,2,28.86,D,10.0,2.21,3.62,D
184,부천테크노파크제4공장,37.5168803297853,126.764142994744,C,C,3,20.97,D,10.0,1.91,3.21,C
185,비즈타워,37.5127882955298,126.775968716178,B,B,3,36.05,C,10.0,1.68,2.88,C
186,삼보테크노타워,37.5016714637065,126.791479697436,B,A,5,60.88,A,6.51,3.91,4.89,E
187,서림테크노파크 3차,37.499251968008,126.79243568875,B,B,8,40.04,C,6.52,4.09,5.03,E
188,서림테크노파크II,37.5103411433891,126.784278390069,B,B,5,42.5,C,7.27,2.55,3.78,D
189,서림테크노파크Ⅰ,37.5023921755836,126.788036385304,A,A,4,77.82,A,6.54,3.58,4.63,E
190,신중동 더퍼스트 지식산업센터,37.5091872313427,126.776382465839,A,B,5,40.75,C,10.0,2.15,3.54,D
191,와이제니스파크,37.5129339402312,126.784218897634,B,C,4,36.41,C,7.04,2.31,3.48,C
192,은성테크노,37.5137468398575,126.775667014007,B,B,3,31.56,D,10.0,1.52,2.64,C
193,춘의테크노파크,37.5014509108961,126.789404627339,B,A,4,68.14,A,6.62,3.67,4.72,E
194,춘의테크노파크3차,37.5003453910918,126.789411690388,B,A,6,52.99,B,6.57,3.72,4.75,E
195,춘의테크노파크Ⅱ,37.5014423700325,126.78785405246,A,A,5,66.18,A,6.62,3.67,4.72,E
196,부천 U1 Center,37.4914259711386,126.81763236428,C,C,5,57.53,B,5.88,5.88,5.88,E
197,히트비젼타워,37.4919054947829,126.815144742451,C,C,5,49.94,B,6.34,6.34,6.34,E
198,분당남서울첨단,37.3795677490079,127.101022525497,B,D,5,20.98,D,1.51,3.07,2.02,B
199,분당테크노파크,37.4041007136596,127.150833140279,C,C,0,0.0,E,3.14,4.58,3.73,D
200,반도 아이비 밸리,37.427378567757,127.093733525734,E,C,0,0.0,E,1.66,0.91,1.18,A
201,현대지식산업센터 성남고등,37.4289516211869,127.093887109652,E,C,0,0.0,E,1.86,1.04,1.33,A
202,SW드림센터,37.4129809494322,127.094389493416,C,B,0,0.0,E,2.09,0.88,1.24,A
203,경기 기업성장센터,37.408681541022,127.097077443601,C,C,1,0.7,D,2.31,0.63,0.99,A
204,판교 IT 센터,37.4120845528299,127.092646228499,C,C,0,0.0,E,2.26,0.71,1.08,A
205,판교글로벌비즈센터,37.4118333243064,127.096174579791,C,B,0,0.0,E,2.09,0.88,1.24,A
206,SK V1,37.4394646852699,127.173650769057,B,B,2,14.36,D,4.11,5.45,4.69,E
207,SK엔테크노파크,37.4400293453897,127.177715976041,C,B,1,3.27,D,4.35,5.69,4.93,E
208,SK지식산업센터,37.4351893797032,127.174440308813,B,C,1,4.65,D,3.59,4.93,4.15,D
209,wave tower,37.4358763854875,127.173165761121,B,B,1,11.46,D,3.73,5.07,4.3,D
210,금강펜테리움IT타워,37.433482340489,127.173505767067,B,B,13,55.79,B,3.66,5.0,4.23,D
211,금강하이테크밸리,37.4444693570309,127.178018145228,C,C,2,8.2,D,4.73,5.99,5.29,E
212,금강하이테크밸리 2차,37.4428038382088,127.17729561112,C,C,2,8.47,D,4.52,5.86,5.1,E
213,노벨테크노타워,37.4403473519306,127.174728791369,B,B,2,12.91,D,4.11,5.45,4.69,E
214,대유지식산업센터,37.4317561525739,127.173459864645,B,B,0,0.0,E,3.66,5.0,4.23,D
215,델리스지식산업센터,37.443158790329,127.177926671241,C,C,2,6.54,D,4.52,5.86,5.1,E
216,드림테크노,37.4315953230269,127.168221891351,C,C,1,9.89,D,3.06,4.39,3.61,D
217,반포테크노피아,37.430594165839,127.17428140892,B,B,0,0.0,E,3.57,4.9,4.13,D
218,벽산테크노피아,37.4311536145447,127.178621926619,B,C,0,0.0,E,3.94,5.62,4.63,E
219,선일테크노피아,37.4320913511461,127.178409931067,B,B,0,0.0,E,3.99,5.33,4.56,E
220,선텍시티,37.4312909402223,127.169182721447,C,C,1,6.07,D,3.06,4.39,3.61,D
221,선텍시티2차,37.434777935374,127.170890749756,B,B,1,15.53,D,3.3,4.64,3.86,D
222,성남 센트럴비즈타워3차,37.432802550871,127.174833166444,B,B,0,0.0,E,3.66,5.0,4.23,D
223,성남센터엠,37.4351890329549,127.175223002868,B,C,1,1.79,D,3.59,4.93,4.15,D
224,성남센트럴비즈타워,37.4419255081534,127.171633493337,C,C,2,28.68,D,4.17,5.39,4.7,E
225,성남센트럴비즈타워2차,37.4386893900514,127.174183115187,B,B,2,10.07,D,3.9,5.24,4.47,D
226,성우 ,37.4305837178805,127.173421117102,B,B,0,0.0,E,3.59,4.92,4.15,D
227,스타우드,37.4328285520886,127.161825894257,C,A,3,19.3,D,2.42,3.76,2.94,C
228,스타타워,37.4351164747097,127.176089706691,B,B,0,0.0,E,3.83,5.16,4.4,D
229,시콕스타워,37.4311219654229,127.170648331778,B,B,1,1.4,D,3.42,4.75,3.98,D
230,쌍용IT트윈타워(1차),37.4319805681074,127.176400871047,B,B,0,0.0,E,3.89,5.23,4.46,D
231,쌍용IT트윈타워(2차),37.4319410920196,127.175803868031,B,B,0,0.0,E,3.89,5.23,4.46,D
232,영원패션클러스터,37.4440814296161,127.17720607437,C,C,2,11.02,D,4.52,5.86,5.1,E
233,우림라이온스밸리,37.4338947647984,127.170138149551,B,B,9,85.26,A,3.31,4.64,3.86,D
234,우림라이온스밸리2차,37.4364055119736,127.170090273964,B,C,6,70.93,A,3.48,4.82,4.04,D
235,우림라이온스밸리3차,37.4310134025096,127.159278228004,C,C,3,19.02,D,2.14,3.74,2.72,C
236,우림라이온스밸리5차,37.4403263603214,127.172642656553,B,C,2,20.56,D,4.11,5.45,4.69,E
237,이노트리,37.4423077038007,127.179587489131,C,C,0,0.0,E,4.58,5.92,5.16,E
238,자생메디바이오센터,37.4330792745234,127.168046577106,B,B,1,17.04,D,2.93,4.26,3.47,C
239,중앙이노테크,37.4413396550499,127.177739302026,C,C,2,3.71,D,4.29,5.62,4.87,E
240,중앙인더스피아,37.4328266335815,127.167281646079,C,B,2,10.54,D,2.93,4.26,3.47,C
241,중앙인더스피아2,37.4404448410785,127.173567267114,B,B,2,17.51,D,4.11,5.45,4.69,E
242,중앙인더스피아5차,37.4416131179498,127.176473088458,C,B,2,9.32,D,4.29,5.62,4.87,E
243,중앙인더스피아제3공장,37.4412223935719,127.173091181943,B,B,2,21.39,D,4.11,5.45,4.69,E
244,중일아인스프라츠2차,37.4392979461255,127.175090431226,B,B,2,8.63,D,3.9,5.24,4.47,D
245,중일아인스프라츠3차,37.431670436416,127.174581623867,B,B,0,0.0,E,3.57,4.9,4.13,D
246,포스테크노,37.4384315746808,127.177897060416,B,B,0,0.0,E,4.17,5.5,4.74,E
247,한라시그마밸리,37.4320366695839,127.177385459767,B,B,5,46.23,C,3.89,5.23,4.46,D
248,현대I밸리,37.436484377224,127.177247256573,B,C,0,0.0,E,3.96,5.3,4.53,E
249,프리마비즈타워,37.2566947087978,126.964436538874,E,B,2,22.53,D,2.18,4.64,2.97,C
250,수원델타원,37.2423295847508,126.986327038124,C,C,2,34.7,D,3.83,4.8,4.26,D
251,수원첨단벤처밸리,37.2429561416796,126.977324659339,C,C,2,51.79,B,3.21,4.18,3.63,D
252,수원휴먼스카이밸리,37.2427161210902,126.976492299041,C,C,2,51.28,B,3.03,4.0,3.45,C
253,(주)덴티움,37.2952978024001,127.041113154074,C,C,2,51.54,B,2.31,1.56,1.86,A
254,광교 센트럴 비즈타워,37.2954573381209,127.03742558516,C,C,2,41.75,C,2.63,1.88,2.19,B
255,광교더퍼스트,37.2663052094435,127.060310964907,B,B,2,6.83,D,2.77,3.43,3.06,C
256,광교플렉스데시앙,37.2953370051325,127.038684967886,C,C,2,45.36,C,2.31,1.56,1.86,A
257,디지털엠파이어,37.245146844023,127.059909766729,C,A,7,71.39,A,0.82,5.81,1.44,A
258,디지털엠파이어2,37.2474530052452,127.050580916264,B,B,3,53.21,B,1.73,6.42,2.73,C
259,망포듀엘191,37.2464588260239,127.054368647722,C,A,3,73.53,A,1.11,5.83,1.86,A
